nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
39.00000,35.28984,31.82122,29.06905,27.85358,27.49885,27.63598,28.07556,28.69406,29.40000
39.00000,35.04724,31.10595,27.53997,27.00215,27.00753,27.33444,27.89285,28.60623,29.40000
39.00000,34.79323,30.02215,23.00000,25.60785,26.19763,26.80137,27.55251,28.43782,29.40000
39.00000,35.11548,31.14627,27.32411,26.19078,25.37396,26.12391,27.07694,28.19287,29.40000
39.00000,35.52336,32.12077,28.98960,26.46420,23.00000,25.24573,26.43798,27.85558,29.40000
39.00000,35.85943,32.82888,30.05000,27.66796,25.68494,25.43719,25.56878,27.39202,29.40000
39.00000,36.08531,33.28309,30.71271,28.47614,26.63862,25.24841,23.00000,26.74362,29.40000
39.00000,36.19709,33.50559,31.03510,28.88544,27.14772,25.91828,25.35298,27.17063,29.40000
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
